73170230,2011-gibson-les-paul-standard-traditional-1960-electric-guitar-w-emg-50642,Gibson,Les Paul Standard Traditional 1960,https://reverb.com/item/73170230-2011-gibson-les-paul-standard-traditional-1960-electric-guitar-w-emg-50642
40774212,gibson-les-paul-deluxe-70s-gold-top-w-case,Gibson,Les Paul Deluxe,https://reverb.com/item/40774212-gibson-les-paul-deluxe-70s-gold-top-w-case
71015629,gibson-les-paul-high-performance-hp-2019-blueberry-fade-aaa-flamed-maple-top-access-neck-original-case-paperwork,Gibson,Les Paul High Performance HP,https://reverb.com/item/71015629-gibson-les-paul-high-performance-hp-2019-blueberry-fade-aaa-flamed-maple-top-access-neck-original-case-paperwork
74106018,gibson-les-paul-standard-60s-figured-top-60-s-cherry,Gibson,Les Paul Standard '60s Figured Top 60's Cherry,https://reverb.com/item/74106018-gibson-les-paul-standard-60s-figured-top-60-s-cherry
75980670,gibson-les-paul-standard-60s-figured-top-fuchsia-2023-new-unplayed-auth-dlr-10lb-11oz-137,Gibson,Les Paul Standard '60s Figured,https://reverb.com/item/75980670-gibson-les-paul-standard-60s-figured-top-fuchsia-2023-new-unplayed-auth-dlr-10lb-11oz-137
77590415,gibson-les-paul-standard-50s-p-90-2023-gold-top-new-unplayed-auth-dlr-9lb-12oz-268,Gibson,Les Paul Standard '50s P-90,https://reverb.com/item/77590415-gibson-les-paul-standard-50s-p-90-2023-gold-top-new-unplayed-auth-dlr-9lb-12oz-268
29200306,gibson-les-paul-modern-sparkling-burgundy,Gibson,Les Paul Modern,https://reverb.com/item/29200306-gibson-les-paul-modern-sparkling-burgundy
77799545,gibson-les-paul-standard-60s-2023-sixties-cherry,Gibson,Les Paul Standard 60s,https://reverb.com/item/77799545-gibson-les-paul-standard-60s-2023-sixties-cherry
75710615,gibson-les-paul-trad-pro-v-satin-2019-2020-satin-wine-red-blacked-out,Gibson,Les Paul Trad Pro V Satin,https://reverb.com/item/75710615-gibson-les-paul-trad-pro-v-satin-2019-2020-satin-wine-red-blacked-out
75683341,gibson-les-paul-standard-50s-gold-top-217830208,Gibson,Les Paul Standard '50s,https://reverb.com/item/75683341-gibson-les-paul-standard-50s-gold-top-217830208
70205286,gibson-les-paul-standard-2021-gold-top,Gibson,Les Paul Standard,https://reverb.com/item/70205286-gibson-les-paul-standard-2021-gold-top
26946639,gibson-les-paul-modern-electric-guitar-graphite,Gibson,Les Paul Modern,https://reverb.com/item/26946639-gibson-les-paul-modern-electric-guitar-graphite
54730239,gibson-black-beauty-les-paul-custom-1968,Gibson,Les Paul Custom,https://reverb.com/item/54730239-gibson-black-beauty-les-paul-custom-1968
70783932,gibson-les-paul-deluxe-70s-gold-top-w-case,Gibson,Les Paul Deluxe,https://reverb.com/item/70783932-gibson-les-paul-deluxe-70s-gold-top-w-case
